gap_id,gap_source,gap_description,affected_layer,affected_files,patch_file,patch_type,runtime_enforced,validator_covered,negative_fixture_exists,positive_fixture_exists,command_proof_exists,remaining_risk,status
GAP-2E-001,MAC-06.2E top gaps,Missing local executable Shadow CLI/wrapper,OperatorRuntime,tools/shadow_runtime/shadow_cli.py,tools/shadow_runtime/shadow_cli.py;tools/shadow_runtime/non_codex_operator_harness.py,runtime_tool,True,True,True,True,True,,PASS
GAP-2E-002,MAC-06.2E top gaps,Markdown packet contracts lacked JSON schemas,Schema,schemas/packets/*.schema.json,schemas/packets/CANONICAL_PACKET_SCHEMA_INDEX.json;tools/shadow_runtime/schema_rationalizer.py;tools/shadow_runtime/packet_schema_validator.py,schema_and_validator,True,True,True,True,True,,PASS
GAP-2E-003,MAC-06.2E top gaps,Communication veins were contract-only without executable graph flow,CommunicationVein,registries/communication_pointer_registry.yaml;registries/route_dag_registry.yaml,tools/shadow_runtime/route_graph_builder.py;tools/shadow_runtime/packet_flow_runner.py;tools/shadow_runtime/communication_vein_validator.py,runtime_graph_runner,True,True,True,True,True,,PASS
GAP-2E-004,MAC-06.2E top gaps,Validator checked text labels instead of repo structure,Validator,validators/validate_mac06_1a_output.py,validators/validate_mac06_1a_output.py;tools/shadow_runtime/validator_integrity_scanner.py,validator_structural_migration,True,True,True,True,True,,PASS
GAP-2E-005,MAC-06.2E top gaps,Missing non-Codex operator harness,OperatorRuntime,operator_harness/;tools/shadow_runtime/non_codex_operator_harness.py,operator_harness/non_codex_operator_result_schema.json;tools/shadow_runtime/non_codex_operator_harness.py,operator_harness,True,True,True,True,True,,PASS
GAP-2E-006,MAC-06.2E top gaps,Agent fake-depth risk from broad active set,Agent,agents/;registries/component_lifecycle_registry.yaml,registries/component_lifecycle_registry.yaml;registries/route_dag_registry.yaml;tools/shadow_runtime/route_graph_builder.py,lifecycle_quarantine_and_dag_consumption,True,True,True,True,True,,PASS
GAP-2E-007,MAC-06.2E top gaps,Skill fake-depth risk from broad active set,Skill,skills/;registries/component_lifecycle_registry.yaml,registries/component_lifecycle_registry.yaml;registries/route_dag_registry.yaml;tools/shadow_runtime/route_graph_builder.py,lifecycle_quarantine_and_active_route_subset,True,True,True,True,True,,PASS
GAP-2E-008,MAC-06.2E top gaps,Media context was contract-level and could falsely imply execution,MediaContext,runtime_contracts/media_packets/;registries/route_dag_registry.yaml,tools/shadow_runtime/provider_boundary_validator.py;tools/shadow_runtime/packet_flow_runner.py;schemas/packets/provider_handoff_packet.schema.json,planning_only_dry_run_boundary,True,True,True,True,True,Provider/media execution intentionally remains disabled; dry-run planning only.,PASS
GAP-2E-009,MAC-06.2E top gaps,"Route manifests were prose maps, not executable DAGs",RouteManifest,registries/route_manifests/*.yaml,registries/route_dag_registry.yaml;tools/shadow_runtime/validate_route_dag.py;tools/shadow_runtime/route_graph_builder.py,executable_dag_registry,True,True,True,True,True,,PASS
GAP-2E-010,MAC-06.2E top gaps,No lineage/approval state store,Lineage,runtime_state/;schemas/runtime_state/,tools/shadow_runtime/lineage_approval_store.py;runtime_state/lineage_store.json;runtime_state/approval_store.json,state_store,True,True,True,True,True,,PASS
GAP-2F-001,MAC-06.2F V2 remaining blockers,14/16 route DAGs were empty,RouteManifest,registries/route_dag_registry.yaml,registries/route_dag_registry.yaml;tools/shadow_runtime/route_graph_builder.py,dag_population_and_validation,True,True,True,True,True,,PASS
GAP-2F-002,MAC-06.2F V2 remaining blockers,10 validator fixtures unresolved,Validator,validators/fixtures/;validators/validate_mac06_1a_output.py,validators/validate_mac06_1a_output.py;validators/fixtures/;tools/shadow_runtime/validator_integrity_scanner.py,fixture_and_structural_validator_closure,True,True,True,True,True,,PASS
GAP-2F-003,MAC-06.2F V2 remaining blockers,Lifecycle over-activated 583 components,Lifecycle,registries/component_lifecycle_registry.yaml,registries/component_lifecycle_registry.yaml;tools/shadow_runtime/shadow_cli.py,active_core_reduction_and_consumption_check,True,True,True,True,True,,PASS
GAP-2G-001,MAC-06.2G remaining high risks,Commit readiness still required zero-trust proof,QualityGate,proofs/mac_06_2h_zero_trust_commit_readiness/,proofs/mac_06_2i_zero_trust_blocker_remediation/postpatch_2h_recheck.md,postpatch_zero_trust_recheck,True,True,True,True,True,,PASS
GAP-2H-001,MAC-06.2H remaining blockers,route_graph_builder accepted empty ordered_nodes,RouteManifest,tools/shadow_runtime/route_graph_builder.py,tools/shadow_runtime/route_graph_builder.py;tests/shadow_runtime/fixtures/route_dags/fail_empty_ordered_nodes.yaml,bugfix_negative_injection,True,True,True,True,True,,PASS
