component_file,component_layer,previous_classification,route_profile_applied,input_packets_added,output_packets_added,pointer_ids_added,validator_bindings_added,quality_gates_added,fallback_added,lineage_added,provider_boundary_added,new_classification,quarantined,reason
directors/DIRECTORS_05_TO_30_COMPLETE_SPECS.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,media_quality_gate_profile,"[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]","[media_quality_gate_packet, lineage_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_PROVIDER_QUALITY, PTR_QUALITY_LINEAGE]","[media_quality_gate_packet_present, quality_scores_present, final_status_matches_weakest_evidence_layer]","[script_score_gate, voice_score_gate, visual_score_gate, video_score_gate, audio_score_gate, editing_score_gate]",BLOCKED_BEFORE_OUTPUT if critical score is below threshold or missing.,"[quality_gate_id, upstream_packet_ids, score_reason, failure_id]",quality gate reviews packets/artifacts only; no provider execution,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: quality/governance
directors/DIRECTORS_COMPLETE_REGISTRY.py,DIRECTOR,TEMPLATE_ONLY_SHALLOW,approval_gate_profile,"[lineage_packet, approval_packet, media_quality_gate_packet]","[approval_packet, execution_authorization_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_LINEAGE_APPROVAL]","[lineage_approval_packet_present, no_n8n_provider_media_execution, provider_boundary_present]","[explicit_user_approval_gate, scope_lock_gate, risk_acceptance_gate]",BLOCKED_BEFORE_OUTPUT until explicit user approval is present.,"[approval_packet_id, user_decision, scope, risk_acknowledged]",may authorize future execution only when approval_packet explicitly states scope,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: approval/oauth
directors/DIRECTOR_REGISTRY_MANIFEST.yaml,DIRECTOR,TEMPLATE_ONLY_SHALLOW,media_quality_gate_profile,"[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]","[media_quality_gate_packet, lineage_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_PROVIDER_QUALITY, PTR_QUALITY_LINEAGE]","[media_quality_gate_packet_present, quality_scores_present, final_status_matches_weakest_evidence_layer]","[script_score_gate, voice_score_gate, visual_score_gate, video_score_gate, audio_score_gate, editing_score_gate]",BLOCKED_BEFORE_OUTPUT if critical score is below threshold or missing.,"[quality_gate_id, upstream_packet_ids, score_reason, failure_id]",quality gate reviews packets/artifacts only; no provider execution,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: quality/governance
directors/cinematic/garuda.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,approval_gate_profile,"[lineage_packet, approval_packet, media_quality_gate_packet]","[approval_packet, execution_authorization_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_LINEAGE_APPROVAL]","[lineage_approval_packet_present, no_n8n_provider_media_execution, provider_boundary_present]","[explicit_user_approval_gate, scope_lock_gate, risk_acceptance_gate]",BLOCKED_BEFORE_OUTPUT until explicit user approval is present.,"[approval_packet_id, user_decision, scope, risk_acknowledged]",may authorize future execution only when approval_packet explicitly states scope,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: approval/oauth
directors/cinematic/garuda_varuna_indra_summary.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,approval_gate_profile,"[lineage_packet, approval_packet, media_quality_gate_packet]","[approval_packet, execution_authorization_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_LINEAGE_APPROVAL]","[lineage_approval_packet_present, no_n8n_provider_media_execution, provider_boundary_present]","[explicit_user_approval_gate, scope_lock_gate, risk_acceptance_gate]",BLOCKED_BEFORE_OUTPUT until explicit user approval is present.,"[approval_packet_id, user_decision, scope, risk_acknowledged]",may authorize future execution only when approval_packet explicitly states scope,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: approval/oauth
directors/cinematic/hanuman.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,media_quality_gate_profile,"[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]","[media_quality_gate_packet, lineage_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_PROVIDER_QUALITY, PTR_QUALITY_LINEAGE]","[media_quality_gate_packet_present, quality_scores_present, final_status_matches_weakest_evidence_layer]","[script_score_gate, voice_score_gate, visual_score_gate, video_score_gate, audio_score_gate, editing_score_gate]",BLOCKED_BEFORE_OUTPUT if critical score is below threshold or missing.,"[quality_gate_id, upstream_packet_ids, score_reason, failure_id]",quality gate reviews packets/artifacts only; no provider execution,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: quality/governance
directors/cinematic/indra.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,approval_gate_profile,"[lineage_packet, approval_packet, media_quality_gate_packet]","[approval_packet, execution_authorization_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_LINEAGE_APPROVAL]","[lineage_approval_packet_present, no_n8n_provider_media_execution, provider_boundary_present]","[explicit_user_approval_gate, scope_lock_gate, risk_acceptance_gate]",BLOCKED_BEFORE_OUTPUT until explicit user approval is present.,"[approval_packet_id, user_decision, scope, risk_acknowledged]",may authorize future execution only when approval_packet explicitly states scope,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: approval/oauth
directors/cinematic/nataraja.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,media_quality_gate_profile,"[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]","[media_quality_gate_packet, lineage_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_PROVIDER_QUALITY, PTR_QUALITY_LINEAGE]","[media_quality_gate_packet_present, quality_scores_present, final_status_matches_weakest_evidence_layer]","[script_score_gate, voice_score_gate, visual_score_gate, video_score_gate, audio_score_gate, editing_score_gate]",BLOCKED_BEFORE_OUTPUT if critical score is below threshold or missing.,"[quality_gate_id, upstream_packet_ids, score_reason, failure_id]",quality gate reviews packets/artifacts only; no provider execution,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: quality/governance
directors/cinematic/varuna.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,media_quality_gate_profile,"[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]","[media_quality_gate_packet, lineage_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_PROVIDER_QUALITY, PTR_QUALITY_LINEAGE]","[media_quality_gate_packet_present, quality_scores_present, final_status_matches_weakest_evidence_layer]","[script_score_gate, voice_score_gate, visual_score_gate, video_score_gate, audio_score_gate, editing_score_gate]",BLOCKED_BEFORE_OUTPUT if critical score is below threshold or missing.,"[quality_gate_id, upstream_packet_ids, score_reason, failure_id]",quality gate reviews packets/artifacts only; no provider execution,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: quality/governance
directors/distribution/kama.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,media_quality_gate_profile,"[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]","[media_quality_gate_packet, lineage_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_PROVIDER_QUALITY, PTR_QUALITY_LINEAGE]","[media_quality_gate_packet_present, quality_scores_present, final_status_matches_weakest_evidence_layer]","[script_score_gate, voice_score_gate, visual_score_gate, video_score_gate, audio_score_gate, editing_score_gate]",BLOCKED_BEFORE_OUTPUT if critical score is below threshold or missing.,"[quality_gate_id, upstream_packet_ids, score_reason, failure_id]",quality gate reviews packets/artifacts only; no provider execution,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: quality/governance
directors/distribution/saraswati.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,media_quality_gate_profile,"[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]","[media_quality_gate_packet, lineage_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_PROVIDER_QUALITY, PTR_QUALITY_LINEAGE]","[media_quality_gate_packet_present, quality_scores_present, final_status_matches_weakest_evidence_layer]","[script_score_gate, voice_score_gate, visual_score_gate, video_score_gate, audio_score_gate, editing_score_gate]",BLOCKED_BEFORE_OUTPUT if critical score is below threshold or missing.,"[quality_gate_id, upstream_packet_ids, score_reason, failure_id]",quality gate reviews packets/artifacts only; no provider execution,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: quality/governance
directors/kernel/kubera.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,approval_gate_profile,"[lineage_packet, approval_packet, media_quality_gate_packet]","[approval_packet, execution_authorization_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_LINEAGE_APPROVAL]","[lineage_approval_packet_present, no_n8n_provider_media_execution, provider_boundary_present]","[explicit_user_approval_gate, scope_lock_gate, risk_acceptance_gate]",BLOCKED_BEFORE_OUTPUT until explicit user approval is present.,"[approval_packet_id, user_decision, scope, risk_acknowledged]",may authorize future execution only when approval_packet explicitly states scope,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: approval/oauth
directors/kernel/yama.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,approval_gate_profile,"[lineage_packet, approval_packet, media_quality_gate_packet]","[approval_packet, execution_authorization_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_LINEAGE_APPROVAL]","[lineage_approval_packet_present, no_n8n_provider_media_execution, provider_boundary_present]","[explicit_user_approval_gate, scope_lock_gate, risk_acceptance_gate]",BLOCKED_BEFORE_OUTPUT until explicit user approval is present.,"[approval_packet_id, user_decision, scope, risk_acknowledged]",may authorize future execution only when approval_packet explicitly states scope,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: approval/oauth
directors/production/agni.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,media_quality_gate_profile,"[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]","[media_quality_gate_packet, lineage_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_PROVIDER_QUALITY, PTR_QUALITY_LINEAGE]","[media_quality_gate_packet_present, quality_scores_present, final_status_matches_weakest_evidence_layer]","[script_score_gate, voice_score_gate, visual_score_gate, video_score_gate, audio_score_gate, editing_score_gate]",BLOCKED_BEFORE_OUTPUT if critical score is below threshold or missing.,"[quality_gate_id, upstream_packet_ids, score_reason, failure_id]",quality gate reviews packets/artifacts only; no provider execution,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: quality/governance
directors/production/arjuna.md,DIRECTOR,TEMPLATE_ONLY_SHALLOW,media_quality_gate_profile,"[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]","[media_quality_gate_packet, lineage_packet]","[PTR_DIRECTOR_AGENT, PTR_AGENT_SUBAGENT, PTR_SUBAGENT_SKILL, PTR_SKILL_SUBSKILL, PTR_PROVIDER_QUALITY, PTR_QUALITY_LINEAGE]","[media_quality_gate_packet_present, quality_scores_present, final_status_matches_weakest_evidence_layer]","[script_score_gate, voice_score_gate, visual_score_gate, video_score_gate, audio_score_gate, editing_score_gate]",BLOCKED_BEFORE_OUTPUT if critical score is below threshold or missing.,"[quality_gate_id, upstream_packet_ids, score_reason, failure_id]",quality gate reviews packets/artifacts only; no provider execution,PRODUCTION_DEPTH_ENRICHED,false,path/pre-contract keyword: quality/governance
