feature_lane,route_dag,active_component_ids,required_packets,schemas_present,validator_rules,quality_gates,lineage_supported,provider_boundary_safe,dry_run_supported,status,gap
topic_discovery,topic_discovery,agastya_agent|S-201-research-to-script-brief,research_brief_packet|topic_intake_packet|trend_signal_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,research_brief_quality_gate|topic_quality_gate,True,True,True,PASS,
topic_qualification,topic_discovery,agastya_agent|S-201-research-to-script-brief,research_brief_packet|topic_intake_packet|trend_signal_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,research_brief_quality_gate|topic_quality_gate,True,True,True,PASS,
trend_detection,topic_discovery,agastya_agent|S-201-research-to-script-brief,research_brief_packet|topic_intake_packet|trend_signal_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,research_brief_quality_gate|topic_quality_gate,True,True,True,PASS,
research_synthesis,research_synthesis,agastya_agent|S-201-research-to-script-brief,research_brief_packet|source_evidence_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,research_brief_quality_gate|source_evidence_quality_gate,True,True,True,PASS,
source_evidence_control,research_synthesis,agastya_agent|S-201-research-to-script-brief,research_brief_packet|source_evidence_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,research_brief_quality_gate|source_evidence_quality_gate,True,True,True,PASS,
script_strategy,script_generation,agastya_agent|S-201-research-to-script-brief|S-202-first-draft-generation|S-210-final-script-packager|A-405-media-qa-validator|P-304-lineage-chain-validator|DIRECTOR:_KAMA,approval_packet|lineage_packet|media_quality_gate_packet|research_brief_packet|script_segment_packet|script_strategy_packet|script_v1_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,approval_gate|lineage_integrity_gate|media_quality_gate|research_brief_quality_gate|script_quality_gate|script_segment_quality_gate|script_strategy_quality_gate,True,True,True,PASS,
script_generation,script_generation,agastya_agent|S-201-research-to-script-brief|S-202-first-draft-generation|S-210-final-script-packager|A-405-media-qa-validator|P-304-lineage-chain-validator|DIRECTOR:_KAMA,approval_packet|lineage_packet|media_quality_gate_packet|research_brief_packet|script_segment_packet|script_strategy_packet|script_v1_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,approval_gate|lineage_integrity_gate|media_quality_gate|research_brief_quality_gate|script_quality_gate|script_segment_quality_gate|script_strategy_quality_gate,True,True,True,PASS,
hook_engineering,script_generation,agastya_agent|S-201-research-to-script-brief|S-202-first-draft-generation|S-210-final-script-packager|A-405-media-qa-validator|P-304-lineage-chain-validator|DIRECTOR:_KAMA,approval_packet|lineage_packet|media_quality_gate_packet|research_brief_packet|script_segment_packet|script_strategy_packet|script_v1_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,approval_gate|lineage_integrity_gate|media_quality_gate|research_brief_quality_gate|script_quality_gate|script_segment_quality_gate|script_strategy_quality_gate,True,True,True,PASS,
retention_engineering,script_generation,agastya_agent|S-201-research-to-script-brief|S-202-first-draft-generation|S-210-final-script-packager|A-405-media-qa-validator|P-304-lineage-chain-validator|DIRECTOR:_KAMA,approval_packet|lineage_packet|media_quality_gate_packet|research_brief_packet|script_segment_packet|script_strategy_packet|script_v1_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,approval_gate|lineage_integrity_gate|media_quality_gate|research_brief_quality_gate|script_quality_gate|script_segment_quality_gate|script_strategy_quality_gate,True,True,True,PASS,
script_debate,script_debate,S-202-first-draft-generation|S-210-final-script-packager,debate_critique_packet|script_v1_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,debate_quality_gate|script_quality_gate,True,True,True,PASS,
line_by_line_critique,script_debate,S-202-first-draft-generation|S-210-final-script-packager,debate_critique_packet|script_v1_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,debate_quality_gate|script_quality_gate,True,True,True,PASS,
script_refinement,script_refinement,S-210-final-script-packager|S-210-final-script-packager,debate_critique_packet|refinement_delta_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,debate_quality_gate|refinement_quality_gate,True,True,True,PASS,
final_script_shaping,final_script_shaping,S-210-final-script-packager|S-210-final-script-packager,final_script_packet|refinement_delta_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,final_script_quality_gate|refinement_quality_gate,True,True,True,PASS,
context_engineering,context_engineering,S-210-final-script-packager|P-301-execution-context-engineer,lineage_packet|script_segment_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,lineage_integrity_gate|script_segment_quality_gate,True,True,True,PASS,
