component_id,component_path,component_layer,route_profile,route_family,lifecycle_status,active_runtime,reason
SUPREME_VISION_COUNCIL_1_REMAINING,directors/DIRECTORS_05_TO_30_COMPLETE_SPECS.md,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
str,directors/DIRECTORS_COMPLETE_REGISTRY.py,DIRECTOR,approval_gate_profile,"approval_gate, repo_write_mode",ACTIVE_CORE,True,profile mapped to active route DAG
SHADOW_EMPIRE_DIRECTOR_REGISTRY_MANIFEST,directors/DIRECTOR_REGISTRY_MANIFEST.yaml,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_GARUDA,directors/cinematic/garuda.md,DIRECTOR,approval_gate_profile,"approval_gate, repo_write_mode",ACTIVE_CORE,True,profile mapped to active route DAG
CINEMATIC_COUNCIL_REMAINING_DIRECTORS_23-25,directors/cinematic/garuda_varuna_indra_summary.md,DIRECTOR,approval_gate_profile,"approval_gate, repo_write_mode",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_HANUMAN,directors/cinematic/hanuman.md,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_INDRA,directors/cinematic/indra.md,DIRECTOR,approval_gate_profile,"approval_gate, repo_write_mode",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_NATARAJA,directors/cinematic/nataraja.md,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_VARUNA,directors/cinematic/varuna.md,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_KAMA,directors/distribution/kama.md,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_SARASWATI,directors/distribution/saraswati.md,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_ARUNA,directors/kernel/aruna.md,DIRECTOR,script_debate_profile,"script_debate, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_KUBERA,directors/kernel/kubera.md,DIRECTOR,approval_gate_profile,"approval_gate, repo_write_mode",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_YAMA,directors/kernel/yama.md,DIRECTOR,approval_gate_profile,"approval_gate, repo_write_mode",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_AGNI,directors/production/agni.md,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_ARJUNA,directors/production/arjuna.md,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_MAYA,directors/production/maya.md,DIRECTOR,provider_handoff_profile,"provider_handoff, full_video_pipeline",DORMANT_FUTURE,False,provider/n8n/external execution path kept disabled
DIRECTOR:_TUMBURU,directors/production/tumburu.md,DIRECTOR,provider_handoff_profile,"provider_handoff, full_video_pipeline",DORMANT_FUTURE,False,provider/n8n/external execution path kept disabled
DIRECTOR:_VISHWAKARMA,directors/production/vishwakarma.md,DIRECTOR,provider_handoff_profile,"provider_handoff, full_video_pipeline",DORMANT_FUTURE,False,provider/n8n/external execution path kept disabled
DIRECTOR:_AGASTYA,directors/research/agastya.md,DIRECTOR,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_GANESHA,directors/research/ganesha.md,DIRECTOR,lineage_profile,"lineage_summary, approval_gate",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_PARASHARA,directors/research/parashara.md,DIRECTOR,script_generation_profile,script_generation,ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_VALMIKI,directors/research/valmiki.md,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_VYASA,directors/research/vyasa.md,DIRECTOR,provider_handoff_profile,"provider_handoff, full_video_pipeline",DORMANT_FUTURE,False,provider/n8n/external execution path kept disabled
DIRECTOR:_CHANAKYA,directors/strategy/chanakya.md,DIRECTOR,provider_handoff_profile,"provider_handoff, full_video_pipeline",DORMANT_FUTURE,False,provider/n8n/external execution path kept disabled
DIRECTOR:_DURGA,directors/strategy/durga.md,DIRECTOR,approval_gate_profile,"approval_gate, repo_write_mode",ACTIVE_CORE,True,profile mapped to active route DAG
