agent_file,agent_id,route_family,workflow_ownership_specific,input_packet_consumption_specific,output_packet_emission_specific,cross_agent_handoff_specific,fallback_route_specific,validator_binding_specific,quality_gate_specific,lineage_specific,provider_boundary_present,classification,gap
agents/AGENT_RUNTIME_REGISTRY.yaml,AGENT_RUNTIME_REGISTRY,"[quality_gate, full_video_pipeline]",false,true,true,true,true,true,true,true,true,FAKE_DEPTH,native agent implementation is thin/stub or generic base wrapper; production depth mostly appended metadata
agents/agastya/agastya_agent.py,agastya_agent,"[trend_research, topic_discovery, script_generation]",true,true,true,true,false,true,true,true,true,FAKE_DEPTH,native agent implementation is thin/stub or generic base wrapper; production depth mostly appended metadata
agents/agent_control_plane_001/agent_control_plane_001_agent.py,agent_control_plane_001_agent,"[trend_research, topic_discovery, script_generation]",true,true,true,true,false,true,true,true,true,FAKE_DEPTH,native agent implementation is thin/stub or generic base wrapper; production depth mostly appended metadata
agents/agent_control_plane_002/agent_control_plane_002_agent.py,agent_control_plane_002_agent,"[trend_research, topic_discovery, script_generation]",true,true,true,true,false,true,true,true,true,FAKE_DEPTH,native agent implementation is thin/stub or generic base wrapper; production depth mostly appended metadata
agents/agent_control_plane_003/agent_control_plane_003_agent.py,agent_control_plane_003_agent,"[trend_research, topic_discovery, script_generation]",true,true,true,true,false,true,true,true,true,FAKE_DEPTH,native agent implementation is thin/stub or generic base wrapper; production depth mostly appended metadata
agents/agent_control_plane_004/agent_control_plane_004_agent.py,agent_control_plane_004_agent,"[trend_research, topic_discovery, script_generation]",true,true,true,true,false,true,true,true,true,FAKE_DEPTH,native agent implementation is thin/stub or generic base wrapper; production depth mostly appended metadata
agents/agent_control_plane_005/agent_control_plane_005_agent.py,agent_control_plane_005_agent,"[trend_research, topic_discovery, script_generation]",true,true,true,true,false,true,true,true,true,FAKE_DEPTH,native agent implementation is thin/stub or generic base wrapper; production depth mostly appended metadata
agents/agent_evolution_001/agent_evolution_001_agent.py,agent_evolution_001_agent,"[trend_research, topic_discovery, script_generation]",true,true,true,true,false,true,true,true,true,FAKE_DEPTH,native agent implementation is thin/stub or generic base wrapper; production depth mostly appended metadata
agents/agent_evolution_002/agent_evolution_002_agent.py,agent_evolution_002_agent,"[trend_research, topic_discovery, script_generation]",true,true,true,true,false,true,true,true,true,FAKE_DEPTH,native agent implementation is thin/stub or generic base wrapper; production depth mostly appended metadata
agents/agent_evolution_003/agent_evolution_003_agent.py,agent_evolution_003_agent,"[trend_research, topic_discovery, script_generation]",true,true,true,true,false,true,true,true,true,FAKE_DEPTH,native agent implementation is thin/stub or generic base wrapper; production depth mostly appended metadata
