skill_file,skill_id,route_family,activation_trigger_specific,input_schema_specific,output_schema_specific,subskill_hooks_specific,quality_metric_specific,validator_binding_specific,fallback_specific,lineage_specific,provider_boundary_present,classification,gap
skills/SKILL_DNA_UPGRADE_TEMPLATE.md,SKILL_DNA_UPGRADE_TEMPLATE,"[approval_gate, repo_write_mode]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/analytics/E-601-performance-analyst.py,E-601-performance-analyst,"[trend_research, topic_discovery, script_generation]",true,true,true,true,true,true,false,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/analytics/E-601-performance-analyst.skill.md,E-601-performance-analyst.skill,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/analytics/E-602-feedback-analyst.py,E-602-feedback-analyst,"[trend_research, topic_discovery, script_generation]",true,true,true,true,true,true,false,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/analytics/E-602-feedback-analyst.skill.md,E-602-feedback-analyst.skill,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/analytics/E-603-evolution-strategist.py,E-603-evolution-strategist,"[trend_research, topic_discovery, script_generation]",true,true,true,true,true,true,false,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/analytics/E-603-evolution-strategist.skill.md,E-603-evolution-strategist.skill,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-091-lip-sync-engine.py,M-091-lip-sync-engine,"[video_context, avatar_video_context, full_video_pipeline]",true,true,true,true,true,true,false,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-091-lip-sync-engine.skill.md,M-091-lip-sync-engine.skill,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-091-m-091-execution-engine.py,M-091-m-091-execution-engine,"[video_context, avatar_video_context, full_video_pipeline]",true,true,true,true,true,true,false,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-092-avatar-rendering-engine.py,M-092-avatar-rendering-engine,"[video_context, avatar_video_context, full_video_pipeline]",true,true,true,true,true,true,false,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-092-avatar-rendering-engine.skill.md,M-092-avatar-rendering-engine.skill,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-093-visual-effects-engine.py,M-093-visual-effects-engine,"[video_context, avatar_video_context, full_video_pipeline]",true,true,true,true,true,true,false,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-093-visual-effects-engine.skill.md,M-093-visual-effects-engine.skill,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-094-color-grading-engine.py,M-094-color-grading-engine,"[video_context, avatar_video_context, full_video_pipeline]",true,true,true,true,true,true,false,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-094-color-grading-engine.skill.md,M-094-color-grading-engine.skill,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-095-motion-graphics-engine.py,M-095-motion-graphics-engine,"[video_context, avatar_video_context, full_video_pipeline]",true,true,true,true,true,true,false,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-095-motion-graphics-engine.skill.md,M-095-motion-graphics-engine.skill,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-096-transition-designer.py,M-096-transition-designer,"[video_context, avatar_video_context, full_video_pipeline]",true,true,true,true,true,true,false,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-096-transition-designer.skill.md,M-096-transition-designer.skill,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-097-pacing-optimizer.py,M-097-pacing-optimizer,"[script_refinement, script_generation]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-097-pacing-optimizer.skill.md,M-097-pacing-optimizer.skill,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-098-final-edit-compiler.py,M-098-final-edit-compiler,"[editing_packaging, full_video_pipeline, publishing]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-098-final-edit-compiler.skill.md,M-098_Final_Edit_Compiler,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-099-quality-assurance-engine.py,M-099-quality-assurance-engine,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-099-quality-assurance-engine.skill.md,M-099_Quality_Assurance_Engine,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-100-safety-compliance-engine.py,M-100-safety-compliance-engine,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-100-safety-compliance-engine.skill.md,M-100_Safety_Compliance_Engine,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-101-decision-board.py,M-101-decision-board,"[trend_research, topic_discovery, script_generation]",true,true,true,true,true,true,false,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
skills/autonomous_loop/M-101-decision-board.skill.md,M-101_Decision_Board,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,FAKE_DEPTH,skill capability is contract-enriched but native skill body lacks concrete callable IO/validation logic
