gap_id,layer,area,current_weakness,evidence_file,evidence_detail,missing_vein_or_binding,required_file_or_patch,production_risk,priority,recommended_action,patch_now_or_later,requires_user_approval
GAP-2E-001,OperatorRuntime,Local wrapper,No local executable Shadow CLI/wrapper enforces boot/route/packet/validator sequence,required_support_file_gap_ledger.csv,scripts/shadow_cli_wrapper.py missing,USER_COMMAND->BOOTSTRAP executable enforcement,scripts/shadow_cli_wrapper.py,LLM can ignore repo law,BLOCKER,Build local CLI wrapper before operator proof,patch_now,false
GAP-2E-002,Schema,Packet schemas,Markdown packet contracts exist without JSON schemas,required_support_file_gap_ledger.csv,9 packet schemas missing,packet contract -> JSON structure,schemas/*.schema.json,Packets cannot be structurally validated,BLOCKER,Create JSON schemas and schema validator,patch_now,false
GAP-2E-003,RuntimeScript,Graph runner,Communication veins are contract-only; no route graph runner executes producer-consumer sequence,communication_vein_verification.csv,20 veins classified CONTRACT_ONLY,pointer registry -> executable graph,engine/packet_flow_runner.py,Connected-looking docs can still drift,BLOCKER,Build packet flow runner,patch_now,false
GAP-2E-004,Validator,Validator reality,"Validator checks text labels, not repo/packet structure",validator_reality_audit.csv,24 text-only rules,validator -> real schema/graph checks,validators + scripts/validate_packet_schema.py,Fake PASS can be written in text,BLOCKER,Harden validator with JSON/registry checks,patch_now,false
GAP-2E-005,SupportFile,Non-Codex harness,No Claude/Gumloop/Antigravity harness exists,required_support_file_gap_ledger.csv,scripts/non_codex_operator_harness.py missing,operator output -> local validator,scripts/non_codex_operator_harness.py,Operator proof remains manual/ad hoc,HIGH,Build non-Codex proof harness,patch_now,false
GAP-2E-006,Agent,Native implementation depth,Many agent files are thin ProductionAgentBase wrappers plus appended metadata,agent_depth_verification.csv,121 fake-depth agents,agent -> real workflow owner implementation,promote smaller active agent set and test,Agent may look deep but not perform workflow,HIGH,Certify active subset route-by-route,patch_now,false
GAP-2E-007,Skill,Native skill depth,Many skills are enriched descriptions without callable input/output functions,skill_depth_verification.csv,547 fake-depth skills,skill -> callable capability,skill runtime adapters or stricter active/dormant split,Generic skill claims persist,HIGH,Quarantine non-tested skills from active runtime,patch_now,false
GAP-2E-008,MediaContext,Media execution readiness,Media context is planning/contract-level only,media_context_capability_verification.csv,capabilities connected but no executable media planner,packet -> concrete planner output,engine/media_pipeline_planner.py or route simulator,Media output claims could be false,HIGH,Keep media disabled; add planner,patch_now,false
GAP-2E-009,RouteManifest,Execution sequence,Route manifests list requirements but do not execute or enforce DAG order,registries/route_manifests/*.yaml,YAML routes are contract/prose enforced,route -> ordered DAG runner,route_sequence schema + runner,Route may be cited but skipped,HIGH,Create machine-readable route DAG and runner,patch_now,false
GAP-2E-010,Approval,Approval/runtime state,Approval packet contract exists but no persistent approval state store,required_support_file_gap_ledger.csv,lineage_store.py missing,approval -> persisted authorization,engine/lineage_store.py,Provider/commit approval can be ambiguous,MEDIUM,Add lineage/approval store,patch_now,false
