workflow_id,workflow_name,sanitized_filename,raw_private_filename,active,archived,createdAt,updatedAt,tags,node_count,trigger_node_count,credential_reference_count,source_guess,source_guess_reason,shadow_or_non_shadow,present_in_wave2_38_reference,recommended_future_action,notes
2HngibnKQxBY11OP,✨🤖Automate Multi-Platform Social Media Content Creation with AI 2,workflow_export_sanitized/Automate_Multi_Platform_Social_Media_Content_Creation_with_AI_2__2HngibnKQxBY11OP.json,workflow_export_raw_private_DO_NOT_COMMIT/Automate_Multi_Platform_Social_Media_Content_Creation_with_AI_2__2HngibnKQxBY11OP.json,False,True,2026-05-05 20:02:58.319,2026-05-05 20:10:47,,57,0,0,USER_IMPORTED_TEMPLATE,"title variant suffix ""2"" suggests duplicate manual import",NON_SHADOW,False,REVIEW_FOR_REUSE,
3U1Or361qbCgCe1I,"General 3D presentation workflow with Midjourney, GPT-4o-image and Kling APIs",workflow_export_sanitized/General_3D_presentation_workflow_with_Midjourney_GPT_4o_image_and_Kling_APIs__3U1Or361qbCgCe1I.json,workflow_export_raw_private_DO_NOT_COMMIT/General_3D_presentation_workflow_with_Midjourney_GPT_4o_image_and_Kling_APIs__3U1Or361qbCgCe1I.json,False,False,2026-05-05 19:25:53.750,2026-05-05 20:19:19.107,,15,0,0,N8N_IMPORTED_TEMPLATE,non-canonical title with template/provider keywords,NON_SHADOW,False,REVIEW_FOR_REUSE,
3ciLA697pqL3AruK,"Generate social videos with AI avatars using VEED, Claude, and OpenAI",workflow_export_sanitized/Generate_social_videos_with_AI_avatars_using_VEED_Claude_and_OpenAI__3ciLA697pqL3AruK.json,workflow_export_raw_private_DO_NOT_COMMIT/Generate_social_videos_with_AI_avatars_using_VEED_Claude_and_OpenAI__3ciLA697pqL3AruK.json,False,False,2026-05-05 20:05:04.576,2026-05-05 20:13:09.369,,28,0,0,N8N_IMPORTED_TEMPLATE,non-canonical title with template/provider keywords,NON_SHADOW,False,REVIEW_FOR_REUSE,
8aRUhR4IWrXPvhsB,WF-901 Error Recovery Canonical,workflow_export_sanitized/WF_901_Error_Recovery_Canonical__8aRUhR4IWrXPvhsB.json,workflow_export_raw_private_DO_NOT_COMMIT/WF_901_Error_Recovery_Canonical__8aRUhR4IWrXPvhsB.json,True,False,2026-05-03 18:49:46.565,2026-05-03 18:49:46.565,,11,0,0,SHADOW_EMPIRE_CANONICAL,contains WF/CWF canonical marker,SHADOW,True,KEEP_REFERENCE_ONLY,
8tAJ8owd5uW7NO6B,Create & share lip-synced avatar videos with Infinitalk AI & upload to TikTok/YouTube,workflow_export_sanitized/Create_share_lip_synced_avatar_videos_with_Infinitalk_AI_upload_to_TikTok_YouTube__8tAJ8owd5uW7NO6B.json,workflow_export_raw_private_DO_NOT_COMMIT/Create_share_lip_synced_avatar_videos_with_Infinitalk_AI_upload_to_TikTok_YouTube__8tAJ8owd5uW7NO6B.json,False,False,2026-05-05 20:05:02.710,2026-05-05 20:13:19.409,,18,0,0,N8N_IMPORTED_TEMPLATE,non-canonical title with template/provider keywords,NON_SHADOW,False,REVIEW_FOR_REUSE,
9Wvgfygw2wMqZcUD,WF-020 Final Approval Canonical,workflow_export_sanitized/WF_020_Final_Approval_Canonical__9Wvgfygw2wMqZcUD.json,workflow_export_raw_private_DO_NOT_COMMIT/WF_020_Final_Approval_Canonical__9Wvgfygw2wMqZcUD.json,True,False,2026-05-03 18:51:07.434,2026-05-04 09:43:01,,17,1,0,SHADOW_EMPIRE_CANONICAL,contains WF/CWF canonical marker,SHADOW,True,KEEP_REFERENCE_ONLY,
AHAk7SsgfgB98aMo,Automated YouTube video scheduling & AI metadata generation 🎬,workflow_export_sanitized/Automated_YouTube_video_scheduling_AI_metadata_generation__AHAk7SsgfgB98aMo.json,workflow_export_raw_private_DO_NOT_COMMIT/Automated_YouTube_video_scheduling_AI_metadata_generation__AHAk7SsgfgB98aMo.json,False,False,2026-05-05 19:32:51.467,2026-05-05 20:18:33.881,,33,0,0,N8N_IMPORTED_TEMPLATE,non-canonical title with template/provider keywords,NON_SHADOW,False,REVIEW_FOR_REUSE,
AQLKHu7qnQTupqzi,CWF-510 Platform Metadata Generator Canonical,workflow_export_sanitized/CWF_510_Platform_Metadata_Generator_Canonical__AQLKHu7qnQTupqzi.json,workflow_export_raw_private_DO_NOT_COMMIT/CWF_510_Platform_Metadata_Generator_Canonical__AQLKHu7qnQTupqzi.json,True,False,2026-05-03 18:47:39.635,2026-05-14 20:32:13.488,,3,0,0,SHADOW_EMPIRE_CANONICAL,contains WF/CWF canonical marker,SHADOW,True,KEEP_REFERENCE_ONLY,
AqV6JbOCO2VAt0aE,Generate cinematic videos with OpenAI Sora and uploadtourl hosting 2,workflow_export_sanitized/Generate_cinematic_videos_with_OpenAI_Sora_and_uploadtourl_hosting_2__AqV6JbOCO2VAt0aE.json,workflow_export_raw_private_DO_NOT_COMMIT/Generate_cinematic_videos_with_OpenAI_Sora_and_uploadtourl_hosting_2__AqV6JbOCO2VAt0aE.json,False,True,2026-05-05 19:04:42.144,2026-05-05 19:07:09,,27,0,0,USER_IMPORTED_TEMPLATE,"title variant suffix ""2"" suggests duplicate manual import",NON_SHADOW,False,REVIEW_FOR_REUSE,
B3QtC5lPGtnPkyJR,"Create AI personalized video & voice outreach with HeyGen, ElevenLabs & Perplexity",workflow_export_sanitized/Create_AI_personalized_video_voice_outreach_with_HeyGen_ElevenLabs_Perplexity__B3QtC5lPGtnPkyJR.json,workflow_export_raw_private_DO_NOT_COMMIT/Create_AI_personalized_video_voice_outreach_with_HeyGen_ElevenLabs_Perplexity__B3QtC5lPGtnPkyJR.json,False,False,2026-05-05 19:20:08.497,2026-05-05 20:19:32.394,,24,0,0,N8N_IMPORTED_TEMPLATE,non-canonical title with template/provider keywords,NON_SHADOW,False,REVIEW_FOR_REUSE,
BcbfnoGMbJmTPSIA,WF-001 Dossier Create Canonical,workflow_export_sanitized/WF_001_Dossier_Create_Canonical__BcbfnoGMbJmTPSIA.json,workflow_export_raw_private_DO_NOT_COMMIT/WF_001_Dossier_Create_Canonical__BcbfnoGMbJmTPSIA.json,True,False,2026-05-03 18:51:30.664,2026-05-04 09:02:39,,8,1,0,SHADOW_EMPIRE_CANONICAL,contains WF/CWF canonical marker,SHADOW,True,KEEP_REFERENCE_ONLY,
BlrDp37eCZ32JgdP,CWF-330 Asset Brief Generator Canonical,workflow_export_sanitized/CWF_330_Asset_Brief_Generator_Canonical__BlrDp37eCZ32JgdP.json,workflow_export_raw_private_DO_NOT_COMMIT/CWF_330_Asset_Brief_Generator_Canonical__BlrDp37eCZ32JgdP.json,True,False,2026-05-03 18:46:33.319,2026-05-14 20:32:12.729,,5,0,0,SHADOW_EMPIRE_CANONICAL,contains WF/CWF canonical marker,SHADOW,True,KEEP_REFERENCE_ONLY,
BqdEJfWweWhV3VrP,Automate AI video creation & multi-platform publishing with Gemini & Creatomate,workflow_export_sanitized/Automate_AI_video_creation_multi_platform_publishing_with_Gemini_Creatomate__BqdEJfWweWhV3VrP.json,workflow_export_raw_private_DO_NOT_COMMIT/Automate_AI_video_creation_multi_platform_publishing_with_Gemini_Creatomate__BqdEJfWweWhV3VrP.json,False,False,2026-05-05 20:07:12.326,2026-05-05 20:12:17.257,,47,0,0,N8N_IMPORTED_TEMPLATE,non-canonical title with template/provider keywords,NON_SHADOW,False,REVIEW_FOR_REUSE,
CH70BvMePN6ofDNo,Hacker News to video content,workflow_export_sanitized/Hacker_News_to_video_content__CH70BvMePN6ofDNo.json,workflow_export_raw_private_DO_NOT_COMMIT/Hacker_News_to_video_content__CH70BvMePN6ofDNo.json,False,False,2026-05-05 19:31:38.966,2026-05-05 20:18:49.552,,48,0,0,UNKNOWN,no canonical marker and no decisive template keyword,UNKNOWN,False,NEEDS_MANUAL_REVIEW,
DWYXAkTFi6r1n3im,Generate AI avatar videos from text with HeyGen and upload to YouTube,workflow_export_sanitized/Generate_AI_avatar_videos_from_text_with_HeyGen_and_upload_to_YouTube__DWYXAkTFi6r1n3im.json,workflow_export_raw_private_DO_NOT_COMMIT/Generate_AI_avatar_videos_from_text_with_HeyGen_and_upload_to_YouTube__DWYXAkTFi6r1n3im.json,False,False,2026-05-05 20:04:38.219,2026-05-05 20:13:44.161,,17,0,0,N8N_IMPORTED_TEMPLATE,non-canonical title with template/provider keywords,NON_SHADOW,False,REVIEW_FOR_REUSE,
