file_path,repo_layer,behavior_relevance,relevant_laws,previous_status,action_taken,final_status,reason
directors/supreme_vision/krishna.md,DIRECTOR,orchestration,"weakest-gate honesty; recurring hook density",MISSING_PATCH,UPDATED,ENFORCES,"rejects final scripts without propagation and re-hook proof"
directors/kernel/aruna.md,DIRECTOR,workflow routing,"route binding; recurring hook lock",MISSING_PATCH,UPDATED,ENFORCES,"requires hook-density gate before final output"
directors/research/vyasa.md,DIRECTOR,research quality,"source safety; proof-based re-hooks",MISSING_PATCH,UPDATED,ENFORCES,"binds factual re-hooks to evidence classification"
directors/research/valmiki.md,DIRECTOR,narrative design,"cinematic story; recurring narrative re-hooks",MISSING_PATCH,UPDATED,ENFORCES,"owns topic-connected narrative resets"
directors/distribution/saraswati.md,DIRECTOR,language and distribution,"English master draft; localized downstream delivery",MISSING_PATCH,UPDATED,ENFORCES,"blocks language inference drift"
directors/kernel/yama.md,DIRECTOR,governance,"unsupported proof rejection; PASS honesty",MISSING_PATCH,UPDATED,ENFORCES,"blocks fake source claims and inflated PASS"
directors/production/agni.md,DIRECTOR,production sync,"re-hook pattern interrupts; scene sync",MISSING_PATCH,UPDATED,ENFORCES,"maps re-hooks into production emphasis"
directors/research/ganesha.md,DIRECTOR,research routing,"source classification; fact-vs-anecdote",MISSING_PATCH,UPDATED,ENFORCES,"routes evidence-safe claims"
directors/strategy/narada.md,DIRECTOR,trend sourcing,"web-safe proof hooks",MISSING_PATCH,UPDATED,ENFORCES,"supplies source-backed trend hooks"
directors/distribution/kama.md,DIRECTOR,platform packaging,"CTA hook; platform retention",MISSING_PATCH,UPDATED,ENFORCES,"aligns re-hooks with platform package"
agents/agastya/agastya_agent.py,AGENT,executable route orchestration,"language; story; hook density; scene sync",MISSING_PATCH,UPDATED,ENFORCES,"active script DAG entrypoint now carries propagation responsibility"
agents/krishna/krishna_agent.py,AGENT,orchestration,"weakest-gate honesty; recurring hook density",MISSING_PATCH,UPDATED,ENFORCES,"blocks incomplete script packet"
agents/aruna/aruna_agent.py,AGENT,workflow gating,"recurring hook lock; route gate",MISSING_PATCH,UPDATED,ENFORCES,"requires retention gate in route execution"
agents/vyasa/vyasa_agent.py,AGENT,research quality,"proof-safe re-hooks",MISSING_PATCH,UPDATED,ENFORCES,"checks factual re-hook evidence"
agents/valmiki/valmiki_agent.py,AGENT,narrative shaping,"story and narrative resets",MISSING_PATCH,UPDATED,ENFORCES,"keeps re-hooks topic-connected"
agents/saraswati/saraswati_agent.py,AGENT,language and packaging,"English master; localization separation",MISSING_PATCH,UPDATED,ENFORCES,"blocks inferred non-English master output"
agents/yama/yama_agent.py,AGENT,governance,"unsupported re-hook rejection",MISSING_PATCH,UPDATED,ENFORCES,"downgrades weak evidence"
agents/agni/agni_agent.py,AGENT,production sync,"Media Factory re-hook emphasis",MISSING_PATCH,UPDATED,ENFORCES,"syncs re-hook production treatment"
agents/ganesha/ganesha_agent.py,AGENT,research routing,"fact-vs-anecdote map",MISSING_PATCH,UPDATED,ENFORCES,"routes source classification"
agents/narada/narada_agent.py,AGENT,trend sourcing,"source-backed proof hooks",MISSING_PATCH,UPDATED,ENFORCES,"blocks unsourced trend re-hooks"
agents/kama/kama_agent.py,AGENT,platform packaging,"CTA and platform hooks",MISSING_PATCH,UPDATED,ENFORCES,"packages retention moments"
subagents/wf_200/wf_200_sub_agent.py,SUBAGENT,script workflow lane,"all script behavior laws",MISSING_PATCH,UPDATED,ENFORCES,"loads complete script behavior packet"
subagents/cwf_210/cwf_210_sub_agent.py,SUBAGENT,generation lane,"English master; story; recurring map",MISSING_PATCH,UPDATED,ENFORCES,"preserves generation requirements"
subagents/cwf_220/cwf_220_sub_agent.py,SUBAGENT,critique lane,"source quality; hook density; pacing",MISSING_PATCH,UPDATED,ENFORCES,"rejects shallow scripts"
subagents/cwf_230/cwf_230_sub_agent.py,SUBAGENT,final shaping lane,"embedded re-hooks; beat-map binding",MISSING_PATCH,UPDATED,ENFORCES,"prevents detached re-hook lists"
subagents/cwf_240/cwf_240_sub_agent.py,SUBAGENT,context handoff lane,"scene sync; local-cloud-hybrid plan",MISSING_PATCH,UPDATED,ENFORCES,"preserves re-hooks through Media Factory handoff"
skills/script_intelligence/S-201-hook-optimizer.skill.md,SCRIPT_SKILL,opening hook design,"opening variants separate from recurring hooks",MISSING_PATCH,UPDATED,ENFORCES,"hands retention planning to recurring-hook owner"
skills/script_intelligence/S-202-first-draft-generation.skill.md,SCRIPT_SKILL,draft generation,"English master; story; recurring map",MISSING_PATCH,UPDATED,ENFORCES,"requires recurring resets inside draft"
skills/script_intelligence/S-203-retention-engineer.skill.md,SCRIPT_SKILL,retention quality,"70-90 second dynamic resets; max gap 90",MISSING_PATCH,UPDATED,ENFORCES,"rejects long flat sections"
skills/script_intelligence/S-206-emotion-amplifier.skill.md,SCRIPT_SKILL,emotional arc,"emotional re-hooks",MISSING_PATCH,UPDATED,ENFORCES,"connects emotional spikes to resets"
skills/script_intelligence/S-208-governance-safety-checker.skill.md,SCRIPT_SKILL,proof safety,"factual re-hook source safety",MISSING_PATCH,UPDATED,ENFORCES,"blocks unsupported proof hooks"
skills/script_intelligence/S-210-final-script-packager.skill.md,SCRIPT_SKILL,final packaging,"rehook preservation and mappings",MISSING_PATCH,UPDATED,ENFORCES,"refuses to drop recurring map"
skills/script_intelligence_army/M-031-mrbeast-hook-system.skill.md,SCRIPT_SKILL,opening hook system,"opening variants only",MISSING_PATCH,UPDATED,ENFORCES,"explicitly separates opening and internal hooks"
skills/script_intelligence_army/M-036-emotional-spike-system.skill.md,SCRIPT_SKILL,emotion and sync,"emotional re-hooks; scene sync",MISSING_PATCH,UPDATED,ENFORCES,"syncs emotional reset moments"
skills/script_intelligence_army/M-039-re-hook-system.skill.md,SCRIPT_SKILL,recurring hook owner,"dynamic 70-90 re-hooks; mappings",MISSING_PATCH,UPDATED,ENFORCES,"canonical recurring re-hook owner"
skills/script_intelligence_army/M-040-story-momentum-engine.skill.md,SCRIPT_SKILL,story momentum,"narrative re-hooks; topic connection",MISSING_PATCH,UPDATED,ENFORCES,"binds story and teaching arc"
skills/script_intelligence_army/M-042-editing-optimization-engine.skill.md,SCRIPT_SKILL,editing treatment,"pattern interrupt sync",MISSING_PATCH,UPDATED,ENFORCES,"maps re-hooks into edit accents"
skills/sub_skills/SS-240-hook-variation-generator.subskill.md,SUBSKILL,atomic hook generation,"opening variants; recurring options",MISSING_PATCH,UPDATED,ENFORCES,"opening hook does not satisfy density"
skills/sub_skills/SS-241-open-loop-generator.subskill.md,SUBSKILL,atomic open loops,"loop placement and payoff",MISSING_PATCH,UPDATED,ENFORCES,"prevents unresolved generic curiosity"
skills/sub_skills/SS-242-story-tension-builder.subskill.md,SUBSKILL,atomic tension,"section tension resets",MISSING_PATCH,UPDATED,ENFORCES,"maintains narrative pressure"
skills/sub_skills/SS-243-pacing-controller.subskill.md,SUBSKILL,atomic pacing,"dynamic interval; max gap",MISSING_PATCH,UPDATED,ENFORCES,"rejects unexplained 90+ second flat sections"
skills/sub_skills/SS-244-retention-loop-engine.subskill.md,SUBSKILL,atomic retention,"five-minute minimum three internal resets",MISSING_PATCH,UPDATED,ENFORCES,"validates recurring density"
skills/sub_skills/SS-245-cliffhanger-designer.subskill.md,SUBSKILL,atomic cliffhangers,"section-boundary re-hooks",MISSING_PATCH,UPDATED,ENFORCES,"binds cliffhangers to script and beat map"
skills/script_intelligence/S-201-research-to-script-brief.py,EXECUTABLE_SKILL,active DAG brief producer,"language; evidence; hook density",MISSING_PATCH,UPDATED,ENFORCES,"emits script behavior requirements"
